model,file,rank,idx,task,label
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,5260,chebi-20-text2mol,<SELFIES>[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][Branch1][#C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][=Branch2][#C][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch2][Branch2][#Branch2][O][C@@H1][O][C@H1][Branch1][O][C][O][S][=Branch1][C][=O][=Branch1][C][=O][O][C@@H1][Branch2][Branch1][Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch2][Ring1][S][O][C][C][C@H1][Branch1][C][O][C@@H1][Branch1][=Branch1][N][=C][Ring1][#Branch1][O][C@H1][Branch1][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O][O][Ring1][S][C@H1][Ring2][Ring1][#Branch2][O][C@H1][Branch2][Ring1][Ring2][O][C@@H1][O][C@@H1][Branch1][C][C][C@@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring1][=Branch2][O][C@H1][Ring2][Branch1][Ring1][N][=C
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,5276,chebi-20-text2mol,<SELFIES>[C][C][Branch1][C][O][=N][C@@H1][C@@H1][Branch1][C][O][C@H1][Branch2][O][S][O][C@@H1][O][C@H1][Branch2][#Branch1][C][C][O][C@H1][O][C@H1][Branch2][Ring1][=Branch1][C][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][Branch1][C][O][C@H1][Branch2][Ring2][Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][Ring2][Ring2][O][O][C@@H1][Branch1][C][O][C@H1][Branch2][Branch1][O][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,5604,chebi-20-text2mol,<SELFIES>[C][C][Branch1][C][C][C][C][C@][Branch2][Ring1][=Branch2][C][=Branch1][C][=O][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C@H1][Branch1][C][O][C][C@][Branch1][C][C][C][=Branch2][Branch2][=N][=C][C][C@@H1][C@@][Branch1][C][C][C][C][C@H1][Branch2][=Branch1][O][O][C@@H1][O][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][C@@H1][Branch1][C][O][C@H1][Branch2][Ring1][S][O][C@@H1][O][C][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][Branch2][O][C@@H1][O][C][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][Branch2][O][C@H1][Ring2][Ring1][=N][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C][Branch1][C][C][Branch1][C][C][C@@H1][Ring2][Branch1][Ring1][C][C][C@][Ring2][Branch1][#Branch1][Ring2][Branch1
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,5800,chebi-20-text2mol,<SELFIES>[C][C][Branch1][C][O][=N][C@H1][C@H1][Branch1][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O][O][C@@][Branch2][=N][=C][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@@H1][O][C@@][Branch2][O][Branch2][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@@H1][O][C@@][Branch2][=Branch2][C][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@@H1][O][C@@][Branch2][=Branch1][N][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@@H1][O][C@@][Branch2][Ring2][=Branch1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@@H1][O][C@@][Branch1][C][O][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch1][C][O][C@H1][Ring1][O][N][=C][Branch1][C][C][O][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch1][C][O][C@H1][Ring2][Ring1][#C][N][=C][Branch1][C][C][O][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch1][
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,6268,chebi-20-text2mol,<SELFIES>[C][C][Branch1][C][C][=C][C][C][/C][Branch1][C][C][=C][/C][C][/C][Branch1][C][C][=C][/C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][Ring1][#Branch2][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][N][=C][Branch1][C][C][O][C@H1][Branch2][=Branch1][#Branch2][O][C@H1][Branch1][C][C][C][Branch1][C][O][=N][C@@H1][Branch1][C][C][C][Branch1][C][O][=N][C@H1][Branch2][Ring2][=C][C][C][C][Branch1][C][O][=N][C@@H1][Branch1][=N][C][C][C][C@@H1][B
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,6356,chebi-20-text2mol,<SELFIES>[N][C@H1][C][Branch1][C][O][=N][C@H1][C][C][=C][C][=C][Branch1][Branch2][C][Branch1][C][Cl][=C][Ring1][#Branch1][O][C][=C][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][O][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][C@@H1][Branch1][C][O][C@@H1][N][=C][Branch1][C][O][C@H1][Branch2][Branch1][#Branch2][N][=C][Branch1][C][O][C@@H1][Ring2][Ring1][Branch2][N][=C][Branch1][C][O][C@@H1][Branch1][#Branch1][N][=C][Ring2][Ring2][#Branch2][O][C][=C][C][Branch1][C][O-1][=C][C][=Branch1][Ring2][=C][Ring1][#Branch1][O][C][=C][C][Ring2][Branch1][#Branch2][=C][C][=C][Ring1][=Branch1][O][S][=Branch1][C][=O][=Branch1][C][=O][O][C][=C][C][Branch1][C][Cl][=C][Branch1][C][O][C][=Branch1][Ring2][=C][Ring1][Branch2][C][=C][Branch1][C][O][C][=C][Branch1][C][O-1][C][=C][Ring1][Branch2][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][N][=C][Ring2][Branch1][=
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,6620,chebi-20-text2mol,<SELFIES>[C][C][C][C][C][C][C][C][C][C][C][C][C][C@@H1][C][C][Branch1][C][O][=N][C@H1][Branch1][=Branch1][C@@H1][Branch1][C][C][O][C][Branch1][C][O][=N][C@H1][Branch1][C][C][C][Branch1][C][O][=N][C@@H1][Branch1][=N][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][Branch1][C][O][=N][C@@H1][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][C@H1][Branch1][C][O][C][C@H1][Ring1][=Branch1][C][Branch1][C][O][=N][C@H1][Branch1][=Branch1][C@@H1][Branch1][C][C][O][C][Branch1][C][O][=N][C@@H1][Branch1][=Branch1][C@@H1][Branch1][C][C][O][C][=Branch1][C][=O][N][C][C][C@H1][Branch1][C][O][C@H1][Ring1][=Branch1][C][Branch1][C][O][=N][C@@H1][Branch1][O][C@H1][Branch1][C][O][C][C][=Branch1][C][=N][O][C][Branch1][C][O][=N][C][C][Branch1][C][O][=N][C@H1][Branch1][=Branch1][C@@H1][Branch1][C][C][O][C][Branch1][C][O][=N][C@@H1][Branch1][B
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,18412,smol-molecule_generation,<SELFIES>[C][C][=Branch1][C][=O][N][C@H1][C@H1][Branch1][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O][O][C@@][Branch2][=N][=C][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@@H1][O][C@@][Branch2][O][Branch2][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@@H1][O][C@@][Branch2][=Branch2][C][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@@H1][O][C@@][Branch2][=Branch1][N][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@@H1][O][C@@][Branch2][Ring2][=Branch1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@@H1][O][C@@][Branch1][C][O][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch1][C][O][C@H1][Ring1][O][N][C][Branch1][C][C][=O][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch1][C][O][C@H1][Ring2][Ring1][#C][N][C][Branch1][C][C][=O][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch1
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,18468,smol-molecule_generation,<SELFIES>[C][C][=Branch1][C][=O][O].[C][C][=Branch1][C][=O][O].[C][C][N][C][=Branch1][C][=O][C@@H1][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C@H1][Branch1][#Branch2][C][C][C][N][=C][Branch1][C][N][N][N][C][=Branch1][C][=O][C@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C@@H1][Branch2][Ring1][Ring2][C][C][=C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=N][Ring1][N][N][C][=Branch1][C][=O][C@H1][Branch1][=N][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][N][C][=Branch1][C][=O][C@H1][Branch1][Ring1][C][O][N][C][=Branch1][C][=O][C@H1][Branch1][#C][C][C][=C][N][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][N][C][=Branch1][C][=O][C@H1][Branch1][=Branch2][C][C][=C][N][=C][N][Ring1][Branch1][N][C][=Branch1][C][=O][C@@H1][C][C][C][=Branch1][C][=O][N][Ring1][=Branch1]</SELFIES
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,18480,smol-molecule_generation,<SELFIES>[C][C@H1][Branch2][Ring1][#Branch1][N][C][=Branch1][C][=O][C@H1][Branch1][Branch2][C][C][C][Branch1][C][N][=O][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C@@H1][Branch1][=Branch2][C][C][=C][S][C][=N][Ring1][Branch1][C][=Branch1][C][=O][N][C@@H1][Branch2][Ring1][N][C][C][C@H1][Branch1][Ring1][C][N][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C][C][C][C@H1][Ring1][Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][=Branch1][C][C][C][C][N][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C
